0,0.82104,1.0589,1.8522,1.2456,1.406,1.1978,1.1543,1.233,1.741,1.5637,1.7243,2.9152,1.9266,1.7117,1.9107,1.5487,2.4898,2.2342,2.5863,2.0882,1.3082,1.238,1.8869,2.56,1.7692,4.2283,0.95743,1.2889,0.86782,1.5099,1.3571,1.7624,1.9018,3.9852,8.5736,4.4516,3.7751,3.2709,3.3878
0.82104,0,0.97657,1.4005,1.0338,1.2766,1.0885,1.1878,0.98162,1.7246,1.5082,1.5323,2.8508,1.8084,1.5608,1.7745,1.3348,2.3494,2.3431,2.5345,2.0716,1.1651,1.0179,1.515,2.3447,1.6492,4.1771,0.66998,1.1471,0.75821,1.303,1.1098,1.6243,1.6254,3.3306,9.0501,4.6486,3.3802,3.068,3.5049
1.0589,0.97657,0,1.0574,0.36235,1.0877,0.99938,0.42989,0.67548,1.1468,0.73895,1.2456,2.4693,1.9022,1.4415,1.59,1.2808,1.9321,1.9938,1.9517,1.7124,0.85182,0.75814,1.5055,1.7647,1.1696,3.7643,0.65767,1.0301,0.56689,0.93367,0.97741,1.4365,1.4565,3.6027,8.2493,4.5238,3.3484,2.481,3.144
1.8522,1.4005,1.0574,0,1.1497,2.0873,2.3281,1.0709,1.5282,1.65,1.0259,1.605,1.9633,1.959,1.6634,1.5425,1.5277,2.387,2.273,2.0372,1.4106,1.3797,1.3732,1.8813,1.5203,1.189,3.1503,0.99761,2.1595,1.5694,1.6985,1.4139,2.2467,0.87177,2.9831,8.4488,4.0193,2.9327,1.9104,2.8327
1.2456,1.0338,0.36235,1.1497,0,0.8816,0.90874,0.6372,0.50729,0.93599,0.7909,1.1553,2.5977,1.6885,1.2794,1.4423,1.1589,1.762,2.104,1.8895,1.7852,0.90202,0.51096,1.5321,1.9091,1.4651,3.8042,0.7366,0.79675,0.60484,0.53562,0.94114,1.6743,1.407,3.7675,8.4133,4.7135,2.986,2.6973,3.4527
1.406,1.2766,1.0877,2.0873,0.8816,0,0.64878,0.99426,0.47235,1.2348,1.592,1.8716,4.0075,2.2625,1.8647,2.3274,1.878,2.6172,2.794,2.9151,2.9934,1.0969,0.81605,1.9123,2.3942,2.2515,4.8912,0.98839,0.51451,0.58593,0.53276,1.7283,1.8917,2.2797,4.4505,9.5819,5.7149,4.2453,3.6615,4.472
1.1978,1.0885,0.99938,2.3281,0.90874,0.64878,0,1.2458,0.67581,1.7169,2.0023,2.2919,4.7767,2.9996,2.5369,2.7422,2.3907,3.1569,3.4472,3.5861,3.5292,1.4228,1.1214,1.497,3.2606,2.1545,5.456,0.67357,0.24673,0.31127,0.70343,2.0395,2.4709,2.9958,4.1906,10.771,5.1979,4.3103,3.992,5.2667
1.1543,1.1878,0.42989,1.0709,0.6372,0.99426,1.2458,0,1.0557,0.9101,0.76138,1.2792,2.2855,1.7787,1.3615,1.6257,1.2295,1.8713,2.0049,1.8567,1.6833,0.80146,1.0191,1.8376,1.7615,0.98726,3.4771,0.84709,1.258,0.78552,1.2131,1.2051,1.511,1.2757,3.7197,8.1677,4.6871,3.3864,2.4643,2.8862
1.233,0.98162,0.67548,1.5282,0.50729,0.47235,0.67581,1.0557,0,1.4007,1.2649,1.7906,3.5081,2.0236,1.6978,1.8479,1.6117,2.293,2.6161,2.5708,2.4306,0.99763,0.42712,1.6197,1.9665,2.05,4.5893,0.74355,0.5784,0.46843,0.21285,1.3054,1.7123,2.0108,3.9332,9.1854,5.3335,3.7959,3.2724,4.1796
1.741,1.7246,1.1468,1.65,0.93599,1.2348,1.7169,0.9101,1.4007,0,0.89895,0.96254,2.5369,1.4947,1.5453,1.8183,1.3441,1.8897,1.9004,2.0486,2.0169,1.0882,1.1666,2.5934,2.2843,1.8239,3.9912,1.3097,1.5373,1.2438,1.3962,1.257,1.9575,1.407,3.9622,8.2275,5.2743,3.0716,3.0632,3.1403
1.5637,1.5082,0.73895,1.0259,0.7909,1.592,2.0023,0.76138,1.2649,0.89895,0,0.78946,1.3565,1.2547,1.121,1.4021,1.0076,1.4091,1.2169,1.1874,1.0261,0.88332,0.9158,1.9282,1.4315,1.2749,3.2481,1.3878,1.9032,1.3294,1.522,0.80567,1.5849,0.87934,4.1139,6.7702,4.8128,3.1901,2.6397,2.2695
1.7243,1.5323,1.2456,1.605,1.1553,1.8716,2.2919,1.2792,1.7906,0.96254,0.78946,0,1.3091,0.82975,0.69312,0.99764,0.70503,1.5576,1.1988,1.3529,1.1873,1.088,1.313,2.0771,1.9979,1.7604,3.2013,1.6634,2.1836,1.6326,2.0106,0.58843,1.649,0.74473,4.3475,6.3532,5.2575,2.829,3.3472,2.2181
2.9152,2.8508,2.4693,1.9633,2.5977,4.0075,4.7767,2.2855,3.5081,2.5369,1.3565,1.3091,0,1.0797,1.3317,1.4962,1.3139,1.7172,0.91417,1.0173,0.51148,1.929,2.6369,3.5403,1.6803,2.0693,2.6757,3.2472,4.518,3.4124,4.0037,1.2961,2.4791,0.65476,5.4,4.55,5.35,3.3734,3.2448,1.3843
1.9266,1.8084,1.9022,1.959,1.6885,2.2625,2.9996,1.7787,2.0236,1.4947,1.2547,0.82975,1.0797,0,0.37007,0.50086,0.31882,1.3316,1.1217,1.1611,1.0386,1.1065,1.3589,2.9076,2.1358,2.2997,3.4448,2.1774,2.7634,2.0735,2.2597,0.72451,1.4277,0.70946,4.8021,5.9996,5.6793,2.8141,3.9596,2.2523
1.7117,1.5608,1.4415,1.6634,1.2794,1.8647,2.5369,1.3615,1.6978,1.5453,1.121,0.69312,1.3317,0.37007,0,0.37764,0.3239,1.5386,1.366,1.3447,1.1337,0.9573,1.0862,2.4414,2.0288,2.0505,3.3229,1.8733,2.3293,1.7499,1.8979,0.77285,1.2328,0.63261,5.0065,6.4184,5.627,3.2172,3.7914,2.4135
1.9107,1.7745,1.59,1.5425,1.4423,2.3274,2.7422,1.6257,1.8479,1.8183,1.4021,0.99764,1.4962,0.50086,0.37764,0,0.40884,2.0135,1.7711,1.7804,1.1921,1.3056,1.2614,2.6224,2.0748,2.0002,3.4307,1.8181,2.5368,1.807,1.978,0.94135,1.5421,0.81027,4.6409,6.5561,5.5356,2.9404,3.8015,2.5652
1.5487,1.3348,1.2808,1.5277,1.1589,1.878,2.3907,1.2295,1.6117,1.3441,1.0076,0.70503,1.3139,0.31882,0.3239,0.40884,0,1.2746,1.3109,1.2142,1.078,0.9219,1.0063,2.3385,1.9858,1.8409,3.2963,1.6373,2.2322,1.5567,1.8184,0.53718,1.0011,0.7234,4.2975,6.6854,5.296,2.7602,3.3704,2.2279
2.4898,2.3494,1.9321,2.387,1.762,2.6172,3.1569,1.8713,2.293,1.8897,1.4091,1.5576,1.7172,1.3316,1.5386,2.0135,1.2746,0,1.4584,1.2147,1.7729,1.6365,1.8361,3.0103,2.3376,2.569,4.2013,2.6492,2.9518,2.4325,2.5547,1.5281,2.3059,1.5563,5.0552,7.0712,5.9452,3.4212,3.5807,2.8224
2.2342,2.3431,1.9938,2.273,2.104,2.794,3.4472,2.0049,2.6161,1.9004,1.2169,1.1988,0.91417,1.1217,1.366,1.7711,1.3109,1.4584,0,1.1583,1.1553,1.5432,1.9917,3.0093,2.0967,2.2453,3.5289,2.6702,3.189,2.4435,3.0142,1.2935,2.1561,1.0959,5.1827,5.3985,5.3807,3.3312,3.4962,2.1029
2.5863,2.5345,1.9517,2.0372,1.8895,2.9151,3.5861,1.8567,2.5708,2.0486,1.1874,1.3529,1.0173,1.1611,1.3447,1.7804,1.2142,1.2147,1.1583,0,1.0424,1.4816,1.9793,3.0749,1.9506,2.2704,3.209,2.7099,3.4245,2.6553,2.8661,1.3654,2.3724,1.0538,5.1013,5.8993,5.5013,3.4333,3.3145,2.2534
2.0882,2.0716,1.7124,1.4106,1.7852,2.9934,3.5292,1.6833,2.4306,2.0169,1.0261,1.1873,0.51148,1.0386,1.1337,1.1921,1.078,1.7729,1.1553,1.0424,0,1.4445,1.801,2.8919,1.4698,1.6558,2.8981,2.2233,3.3248,2.3971,2.7892,1.0469,2.0616,0.63454,4.5115,5.6225,5.066,3.3323,2.7717,1.7117
1.3082,1.1651,0.85182,1.3797,0.90202,1.0969,1.4228,0.80146,0.99763,1.0882,0.88332,1.088,1.929,1.1065,0.9573,1.3056,0.9219,1.6365,1.5432,1.4816,1.4445,0,0.92658,1.8287,1.6491,1.3557,3.3961,0.94626,1.3886,0.91605,1.2573,0.83523,1.338,0.99176,3.795,7.2295,4.6105,3.1842,3.1568,2.8693
1.238,1.0179,0.75814,1.3732,0.51096,0.81605,1.1214,1.0191,0.42712,1.1666,0.9158,1.313,2.6369,1.3589,1.0862,1.2614,1.0063,1.8361,1.9917,1.9793,1.801,0.92658,0,1.7435,1.9638,1.8841,4.0179,0.98162,0.94713,0.70977,0.50437,0.96321,1.3944,1.4602,4.0854,8.1099,5.2884,3.3704,3.0913,3.3832
1.8869,1.515,1.5055,1.8813,1.5321,1.9123,1.497,1.8376,1.6197,2.5934,1.9282,2.0771,3.5403,2.9076,2.4414,2.6224,2.3385,3.0103,3.0093,3.0749,2.8919,1.8287,1.7435,0,2.7239,1.8261,4.8557,1.1886,1.5863,1.257,1.8836,1.9895,2.845,2.2865,3.5982,9.6121,4.8165,4.1895,3.328,4.217
2.56,2.3447,1.7647,1.5203,1.9091,2.3942,3.2606,1.7615,1.9665,2.2843,1.4315,1.9979,1.6803,2.1358,2.0288,2.0748,1.9858,2.3376,2.0967,1.9506,1.4698,1.6491,1.9638,2.7239,0,1.8614,3.1849,2.2021,2.9909,2.2831,2.4175,1.7312,2.4516,1.3575,4.6801,6.6028,5.1652,4.2704,2.9608,2.7392
1.7692,1.6492,1.1696,1.189,1.4651,2.2515,2.1545,0.98726,2.05,1.8239,1.2749,1.7604,2.0693,2.2997,2.0505,2.0002,1.8409,2.569,2.2453,2.2704,1.6558,1.3557,1.8841,1.8261,1.8614,0,3.4218,1.0289,2.1966,1.4431,2.2191,1.6263,2.3146,1.2701,2.9254,8.2304,3.8349,3.5281,2.2828,2.696
4.2283,4.1771,3.7643,3.1503,3.8042,4.8912,5.456,3.4771,4.5893,3.9912,3.2481,3.2013,2.6757,3.4448,3.3229,3.4307,3.2963,4.2013,3.5289,3.209,2.8981,3.3961,4.0179,4.8557,3.1849,3.4218,0,4.0551,5.1755,4.3976,4.9795,3.2699,4.3655,2.597,6.3174,8.0674,6.809,5.0825,4.7751,3.5498
0.95743,0.66998,0.65767,0.99761,0.7366,0.98839,0.67357,0.84709,0.74355,1.3097,1.3878,1.6634,3.2472,2.1774,1.8733,1.8181,1.6373,2.6492,2.6702,2.7099,2.2233,0.94626,0.98162,1.1886,2.2021,1.0289,4.0551,0,0.73619,0.41007,0.87969,1.365,1.8943,1.5681,2.5036,9.7405,3.8735,3.1384,2.5008,3.7256
1.2889,1.1471,1.0301,2.1595,0.79675,0.51451,0.24673,1.258,0.5784,1.5373,1.9032,2.1836,4.518,2.7634,2.3293,2.5368,2.2322,2.9518,3.189,3.4245,3.3248,1.3886,0.94713,1.5863,2.9909,2.1966,5.1755,0.73619,0,0.30381,0.51157,1.963,2.4583,2.7478,4.1347,10.433,5.1665,4.0645,3.7253,5.0381
0.86782,0.75821,0.56689,1.5694,0.60484,0.58593,0.31127,0.78552,0.46843,1.2438,1.3294,1.6326,3.4124,2.0735,1.7499,1.807,1.5567,2.4325,2.4435,2.6553,2.3971,0.91605,0.70977,1.257,2.2831,1.4431,4.3976,0.41007,0.30381,0,0.60323,1.3588,1.7544,1.9754,3.5382,9.2458,4.5896,3.5589,3.2055,3.9829
1.5099,1.303,0.93367,1.6985,0.53562,0.53276,0.70343,1.2131,0.21285,1.3962,1.522,2.0106,4.0037,2.2597,1.8979,1.978,1.8184,2.5547,3.0142,2.8661,2.7892,1.2573,0.50437,1.8836,2.4175,2.2191,4.9795,0.87969,0.51157,0.60323,0,1.6492,2.151,2.2427,4.0458,9.9221,5.4974,3.8561,3.3211,4.6722
1.3571,1.1098,0.97741,1.4139,0.94114,1.7283,2.0395,1.2051,1.3054,1.257,0.80567,0.58843,1.2961,0.72451,0.77285,0.94135,0.53718,1.5281,1.2935,1.3654,1.0469,0.83523,0.96321,1.9895,1.7312,1.6263,3.2699,1.365,1.963,1.3588,1.6492,0,1.2252,0.81315,4.1239,6.2744,4.834,2.9817,3.1882,2.4014
1.7624,1.6243,1.4365,2.2467,1.6743,1.8917,2.4709,1.511,1.7123,1.9575,1.5849,1.649,2.4791,1.4277,1.2328,1.5421,1.0011,2.3059,2.1561,2.3724,2.0616,1.338,1.3944,2.845,2.4516,2.3146,4.3655,1.8943,2.4583,1.7544,2.151,1.2252,0,1.6885,4.9875,7.65,5.7764,4.0463,3.6668,3.1612
1.9018,1.6254,1.4565,0.87177,1.407,2.2797,2.9958,1.2757,2.0108,1.407,0.87934,0.74473,0.65476,0.70946,0.63261,0.81027,0.7234,1.5563,1.0959,1.0538,0.63454,0.99176,1.4602,2.2865,1.3575,1.2701,2.597,1.5681,2.7478,1.9754,2.2427,0.81315,1.6885,0,3.5933,6.0582,4.3374,2.5822,2.3669,1.6818
3.9852,3.3306,3.6027,2.9831,3.7675,4.4505,4.1906,3.7197,3.9332,3.9622,4.1139,4.3475,5.4,4.8021,5.0065,4.6409,4.2975,5.0552,5.1827,5.1013,4.5115,3.795,4.0854,3.5982,4.6801,2.9254,6.3174,2.5036,4.1347,3.5382,4.0458,4.1239,4.9875,3.5933,0,12.65,5.55,4.8359,3.6225,6.012
8.5736,9.0501,8.2493,8.4488,8.4133,9.5819,10.771,8.1677,9.1854,8.2275,6.7702,6.3532,4.55,5.9996,6.4184,6.5561,6.6854,7.0712,5.3985,5.8993,5.6225,7.2295,8.1099,9.6121,6.6028,8.2304,8.0674,9.7405,10.433,9.2458,9.9221,6.2744,7.65,6.0582,12.65,0,12,9.3734,9.2614,6.2731
4.4516,4.6486,4.5238,4.0193,4.7135,5.7149,5.1979,4.6871,5.3335,5.2743,4.8128,5.2575,5.35,5.6793,5.627,5.5356,5.296,5.9452,5.3807,5.5013,5.066,4.6105,5.2884,4.8165,5.1652,3.8349,6.809,3.8735,5.1665,4.5896,5.4974,4.834,5.7764,4.3374,5.55,12,0,5.9109,5.0725,5.7843
3.7751,3.3802,3.3484,2.9327,2.986,4.2453,4.3103,3.3864,3.7959,3.0716,3.1901,2.829,3.3734,2.8141,3.2172,2.9404,2.7602,3.4212,3.3312,3.4333,3.3323,3.1842,3.3704,4.1895,4.2704,3.5281,5.0825,3.1384,4.0645,3.5589,3.8561,2.9817,4.0463,2.5822,4.8359,9.3734,5.9109,0,4.9307,4.4716
3.2709,3.068,2.481,1.9104,2.6973,3.6615,3.992,2.4643,3.2724,3.0632,2.6397,3.3472,3.2448,3.9596,3.7914,3.8015,3.3704,3.5807,3.4962,3.3145,2.7717,3.1568,3.0913,3.328,2.9608,2.2828,4.7751,2.5008,3.7253,3.2055,3.3211,3.1882,3.6668,2.3669,3.6225,9.2614,5.0725,4.9307,0,3.7802
3.3878,3.5049,3.144,2.8327,3.4527,4.472,5.2667,2.8862,4.1796,3.1403,2.2695,2.2181,1.3843,2.2523,2.4135,2.5652,2.2279,2.8224,2.1029,2.2534,1.7117,2.8693,3.3832,4.217,2.7392,2.696,3.5498,3.7256,5.0381,3.9829,4.6722,2.4014,3.1612,1.6818,6.012,6.2731,5.7843,4.4716,3.7802,0
